Depth,P1_Heu,P2_Heu,P1_Win,P2_Win,Draw
1,1,1,56,37,7
1,1,2,54,40,6
1,1,3,13,72,15
1,1,4,20,76,4
1,1,5,18,76,6
1,1,6,59,33,8
1,2,1,53,40,7
1,2,2,49,39,12
1,2,3,17,75,8
1,2,4,26,68,6
1,2,5,18,72,10
1,2,6,62,29,9
1,3,1,33,59,8
1,3,2,27,61,12
1,3,3,9,84,7
1,3,4,5,84,11
1,3,5,13,85,2
1,3,6,35,54,11
1,4,1,34,55,11
1,4,2,26,65,9
1,4,3,12,83,5
1,4,4,11,85,4
1,4,5,14,83,3
1,4,6,36,50,14
1,5,1,16,75,9
1,5,2,15,80,5
1,5,3,11,84,5
1,5,4,8,92,0
1,5,5,8,88,4
1,5,6,18,76,6
1,6,1,17,75,8
1,6,2,10,88,2
1,6,3,1,96,3
1,6,4,0,100,0
1,6,5,0,99,1
1,6,6,11,84,5

2,1,1,61,34,5
2,1,2,51,37,12
2,1,3,60,36,4
2,1,4,56,36,8
2,1,5,60,34,6
2,1,6,83,12,5
2,2,1,65,29,6
2,2,2,65,29,6
2,2,3,60,35,5
2,2,4,53,42,5
2,2,5,51,41,8
2,2,6,67,24,9
2,3,1,58,30,12
2,3,2,68,30,2
2,3,3,50,41,9
2,3,4,49,40,11
2,3,5,57,40,3
2,3,6,82,17,1
2,4,1,65,27,8
2,4,2,69,30,1
2,4,3,54,39,7
2,4,4,60,32,8
2,4,5,57,37,6
2,4,6,85,12,3
2,5,1,69,25,6
2,5,2,74,22,4
2,5,3,65,29,6
2,5,4,63,32,5
2,5,5,64,28,8
2,5,6,86,11,3
2,6,1,29,64,7
2,6,2,31,64,5
2,6,3,22,75,3
2,6,4,19,75,6
2,6,5,29,64,7
2,6,6,53,41,6

3,1,1,37,54,9
3,1,2,48,47,5
3,1,3,30,66,4
3,1,4,38,54,8
3,1,5,39,58,3
3,1,6,65,26,9
3,2,1,49,47,4
3,2,2,37,57,6
3,2,3,32,61,7
3,2,4,39,54,7
3,2,5,34,56,10
3,2,6,72,22,6
3,3,1,71,25,4
3,3,2,60,33,7
3,3,3,62,30,8
3,3,4,51,42,7
3,3,5,64,30,6
3,3,6,85,12,3
3,4,1,60,36,4
3,4,2,64,25,11
3,4,3,66,28,6
3,4,4,56,39,5
3,4,5,63,31,6
3,4,6,73,24,3
3,5,1,60,36,4
3,5,2,62,30,8
3,5,3,62,34,4
3,5,4,54,36,10
3,5,5,48,46,6
3,5,6,80,16,4
3,6,1,27,71,2
3,6,2,27,68,5
3,6,3,25,69,6
3,6,4,17,79,4
3,6,5,27,67,6
3,6,6,43,53,4

4,1,1,65,29,6
4,1,2,57,35,8
4,1,3,48,45,7
4,1,4,57,35,8
4,1,5,47,44,9
4,1,6,84,14,2
4,2,1,66,26,8
4,2,2,54,40,6
4,2,3,62,30,8
4,2,4,59,37,4
4,2,5,53,41,6
4,2,6,67,30,3
4,3,1,70,23,7
4,3,2,74,22,4
4,3,3,60,33,7
4,3,4,64,29,7
4,3,5,61,35,4
4,3,6,86,13,1
4,4,1,70,24,6
4,4,2,68,26,6
4,4,3,57,37,6
4,4,4,56,38,6
4,4,5,63,30,7
4,4,6,87,13,0
4,5,1,65,30,5
4,5,2,65,32,3
4,5,3,55,42,3
4,5,4,60,35,5
4,5,5,52,43,5
4,5,6,87,10,3
4,6,1,28,62,10
4,6,2,27,67,6
4,6,3,24,72,4
4,6,4,27,69,4
4,6,5,21,71,8
4,6,6,41,52,7

5,1,1,58,39,3
5,1,2,46,49,5
5,1,3,45,48,7
5,1,4,55,41,4
5,1,5,44,51,5
5,1,6,56,37,7
5,2,1,47,44,9
5,2,2,60,34,6
5,2,3,35,57,8
5,2,4,39,57,4
5,2,5,43,50,7
5,2,6,59,36,5
5,3,1,68,27,5
5,3,2,67,28,5
5,3,3,56,38,6
5,3,4,48,41,11
5,3,5,43,52,5
5,3,6,55,39,6
5,4,1,66,23,11
5,4,2,70,22,8
5,4,3,53,36,11
5,4,4,48,43,9
5,4,5,58,40,2
5,4,6,74,22,4
5,5,1,61,35,4
5,5,2,56,39,5
5,5,3,46,49,5
5,5,4,49,42,9
5,5,5,50,41,9
5,5,6,72,27,1
5,6,1,40,55,5
5,6,2,43,56,1
5,6,3,29,66,5
5,6,4,34,61,5
5,6,5,27,67,6
5,6,6,32,63,5

6,1,1,50,47,3
6,1,2,54,39,7
6,1,3,38,53,9
6,1,4,44,49,7
6,1,5,48,48,4
6,1,6,53,41,6
6,2,1,48,46,6
6,2,2,44,52,4
6,2,3,32,61,7
6,2,4,45,48,7
6,2,5,51,44,5
6,2,6,48,45,7
6,3,1,66,29,5
6,3,2,58,34,8
6,3,3,49,43,8
6,3,4,47,49,4
6,3,5,58,40,2
6,3,6,57,37,6
6,4,1,58,34,8
6,4,2,76,22,2
6,4,3,62,33,5
6,4,4,58,39,3
6,4,5,53,40,7
6,4,6,62,35,3
6,5,1,63,32,5
6,5,2,65,28,7
6,5,3,50,41,9
6,5,4,46,48,6
6,5,5,59,37,4
6,5,6,62,32,6
6,6,1,46,50,4
6,6,2,44,50,6
6,6,3,35,60,5
6,6,4,35,59,6
6,6,5,41,55,4
6,6,6,35,56,9

